id,name
605251,Fashion Men's Watches
605254,Fashion Women's Watches
605257,Fashion Couple Watches
605268,Earrings
605271,Headbands
605272,Anklets
605273,Rings
605274,Bracelets & Bangles
605280,Necklaces
605281,Collar Clips & Brooches
605289,Fashion Accessory Sets
605302,Frames & Glasses
605304,Sunglasses
700553,"Biscuits, Cookies & Wafers"
700554,Crisps & Puffed Snacks
700612,Coffee
700644,Instant Noodles
700648,Beauty Supplement
700649,Fitness Supplements
700650,"Vitamins, Minerals & Wellness Supplements"
700652,Quilts
700653,Pillows & Bed Wedges
700654,"Decorative Flowers, Plants & Fruit"
700655,Vase & Fillers
700661,Cushions & Accessories
700662,Heat Patches
700665,Dust Covers
700684,Car Mats
700694,Bodysuits & One-pieces
700699,Stuffed Toys
700700,Model & Toy Vehicles
700704,Baby Bottles & Accessories
700705,Strollers and Bassinet Strollers
700706,Baby Chairs
700707,Baby Utensils
700710,Maternity Underwear
700718,Maternity Clothing & Accessories
700740,Indoor Recreation
700741,Fencing
700768,Chocolate & Chocolate Snacks
700779,Skiing
700781,Diving
700782,Tents & Accessories
700785,Manual Massage Tools
700789,Hair Styling Tools
700790,Manicure & Pedicure Tools
700791,Razors
700795,Fashion Watch Accessories
801040,Electric Spin Scrubbers
801168,Hand Riveters
801296,Specialty Power Tools
801424,Specialty Garden Tools
801552,Metal Detectors
801680,Chainsaws
801808,Snow Removal Tools
801936,Gardening Tool Accessories
802064,Multitools & Accessories
802192,Cutting Tools
802320,Masonry & Tiling Tools
802440,Costumes & Accessories
802448,Specialty Hand Tools
802568,Underwear
802576,Patio Heaters & Fire Pits
802696,Sleepwear
802704,"Pools, Hot Tubs & Supplies"
802832,Wallpaper Tools
802952,Tops
802960,Raised Beds
803080,Coats & Jackets
803088,Greenhouses & Seed Starters
803208,Boys' Bottoms
803216,Onesies
803336,Suits & Sets
803344,Men's Pajamas Onesies
803464,Socks
803472,School Uniforms
803600,School Uniforms
803720,Costumes & Accessories
803728,Smart Glasses
803848,Underwear
803856,USB Vacuums
803976,Sleepwear
803984,Niqab
804104,Kids' Swimwear
804232,Tops
804240,Shoe & Boot Toe Guards
804360,Coats & Jackets
804368,Shoe Decoration Charms
804488,Bottoms
804496,Work & Safety Footwear
804616,Suits & Sets
804624,Work & Safety Footwear
804744,Dresses
804752,Mary Jane Shoes
804872,Skirts
804880,Recovery Collars & Support Braces
805000,Socks
805008,Bird Healthcare
805136,Toilet Training Systems
805256,Boots
805264,Farm Animal Health Supplies
805384,Sandals & Flip Flops
805392,Reptile Health Supplies
805512,Trainers
805640,Slippers
805768,Formal Shoes
805776,Sleep & Snoring
805896,Flat Shoes
805904,Respiratory Aids & Accessories
806152,Boots
806160,Hair Loss Products
806280,Sandals & Flip Flops
806408,Trainers
806416,Cardboard Cutouts
806536,Slippers
806544,Music Boxes
806664,Flat Shoes
806672,Wine Making Equipment
806800,Room Dividers
806920,Bags & Luggage
806928,Makeup Vanities
807048,Kids' Hats
807056,Coat Racks
807176,Eyewear
807184,Bedding Accessories
807304,Hair Accessories
807312,Pizza & Focaccia
807432,Gloves
807440,Sandwiches & Wraps
807560,Belts
807568,Soups & Stews
807688,Kids' Scarves & Shawls
807696,Pasta & Sauces
807816,Watches
807824,Deli
807944,Kids Costume Jewelry & Accessories
807952,Prepared Meals
